#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
11028,TYPO3.Fluid,Bug,"",Closed,Should have,Output of domain and property validator error messages performs always an default error,Armin Ruediger Vieweg,"",2011-05-06 04:35,"","",2010-11-23,"","",0,2010-11-23 12:28,"","",2593900,"","","","Hello guys,

I've seen a strange error with validators and its error messages.

When a domain validator and a property validator has been triggered at the same time, the output shows a third error which is basicly located in _Tx_Extbase_Validation_PropertyError_:
<pre>1242859509: Validation errors for property ""title""</pre>

The solution to hide this needless error was an if-condition in fluid-template, but this seems to be very dirty:

<pre>
<f:form.errors for=""myFormname"">
	<f:for each=""{error.errors}"" as=""errorDetail"">
			<f:translate key=""...{errorDetail.code}"" default=""...{errorDetail.message}"" /><br />
	</f:for>
</f:form.errors>

<f:form.errors>
	<f:for each=""{error.errors}"" as=""errorDetail"">
		<f:if condition=""{errorDetail.code} != 1242859509"">
			<f:translate key=""...{errorDetail.code}"" default=""...{errorDetail.message}"" /><br />
		</f:if>
	</f:for>
</f:form.errors>
</pre>

If you ask why there are two @<f:form:errors />@: This is because property error messages and domain error messages must have an seperatly output.

Maybe I'm wrong and there exists a very much more elegant solution, but if not, then it seems to be an error that the default error 1242859509 gets displayed.

Kind Regards"
11101,TYPO3.Fluid,Bug,"",Resolved,Should have,Pagination widget creates incorrect absolute URLs,Martin Helmich,Bastian Waidelich,2010-12-02 13:29,Widgets,"",2010-11-26,"","",100,2010-11-26 10:52,"","",2593850,"","","","Currently, the paginate widget creates absolute URLs. However, if your TYPO3 is installed in a subdirectory of the document root, this is apparently not respected when generating the URLs.

So, the widget creates URLS like

http://localhost/index.php... instead of
http://localhost/xyz/index.php

Is there actually any reason to use absolute URLs instead of relative ones?

Problem occurs with version 1.3.0beta1a.

Best regards,
Martin Helmich"
11122,TYPO3.Fluid,Bug,"",Closed,Should have,Doc comments for render method not work with tabs,Tomas Majer,Karsten Dambekalns,2012-03-07 15:57,Core,"",2010-11-29,"","",0,2010-11-29 03:27,"","",2593800,"",No,FLOW3 1.0.0,"There are problem with tabs in doc comments in render method. Fluid crash with exception:

@#1242292003: could not determine type of argument ""text"" of the render-method in ViewHelper ""Tx_My_ViewHelpers_MyViewHelper"". Either the methods docComment is invalid or some PHP optimizer strips off comments.@

Example:
<pre>/**
 * @param	string	$text
 * @return	string
 * @api
 */
public function render($text) {}</pre>"
11286,TYPO3.Fluid,Feature,"",Closed,Could have,Alternative syntax for fluid objects inside JavaScript,Fernando Arconada,Bastian Waidelich,2012-11-26 09:53,Core,"",2010-12-05,"","",0,2010-12-05 05:05,"","",2593750,"",No,"",Fluid objects in the way of tags and braces are uncomfortable inside javascript code cause fluid syntax conflicts with JS syntax. So will be great to have a syntax like ##object.property## or what you like that doesnt conflicts
11636,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Resolved,Should have,Form viewhelper not functional with method GET,Daniel Lienert,Christopher Hlubek,2013-10-21 14:15,ViewHelpers,"",2010-12-22,"","",100,2010-12-22 01:18,"","",67800,"",No,"","If the GET-method is used, only the url from action is passed to the server, but not the paramaters given there like pageId, controller, action.

These fields should be added as hidden fields in the form."
11660,TYPO3.Fluid,Feature,"",Closed,Should have,Universal tag attributes do not allow other javascript events than onclick,Nico de Haen,"",2011-05-06 04:37,"","",2010-12-23,"","",0,2010-12-23 02:13,"","",2593700,"","","","It should be possible to add events like onblur, onfocus etc. without the need to write an new TagViewHelper. 
Or allow something like
<pre>
 eventHandler=""{onclick:'doThis()',onfocus:'doThat()'}""
</pre>

whish is more generic but has the disadvantage that it's not a valid HTML tag attribute.
"
11740,TYPO3.Fluid,Feature,"",Closed,Should have,Paginate viewhelper should be possible to handle non-query-result objects,Armin Ruediger Vieweg,"",2012-05-03 09:34,Widgets,"",2010-12-27,"","",0,2010-12-27 05:08,"","",2593650,"",No,"","Hello,

sometimes it is necessary to use an object storage or an array instead of an query result. If this is the case, it is not possible to use the default paginate viewhelper anymore, cause it is requiering a _Tx_Extbase_Persistence_QueryResultInterface_.

I've copied the widget and changed it to work with array. This is my *indexAction* of *PaginateController*:
<pre>
	public function indexAction($currentPage = 1) {
		// set current page
		$this->currentPage = (integer)$currentPage;
		if ($this->currentPage < 1) {
			$this->currentPage = 1;
		} elseif ($this->currentPage > $this->numberOfPages) {
			$this->currentPage = $this->numberOfPages;
		}

		$i = 0;
		$itemsPerPage = (integer)$this->configuration['itemsPerPage'];
		$modifiedObjects = array();
		$indexMin = $itemsPerPage * ($this->currentPage - 1);
		$indexMax = $itemsPerPage * $this->currentPage - 1;

		foreach ($this->objects as $object) {
			if ($i >= $indexMin && $i <= $indexMax ) {
				$modifiedObjects[] = $object;
			}
			$i++;
		}

		$this->view->assign('contentArguments', array(
			$this->widgetConfiguration['as'] => $modifiedObjects
		));
		$this->view->assign('configuration', $this->configuration);
		$this->view->assign('pagination', $this->buildPagination());
	}
</pre>

Of cause you would have to remove the requirement of _Tx_Extbase_Persistence_QueryResultInterface_ in *PaginateViewHelper* (Line 76 and 71) and *PaginateController* (Line 34) too.

This example is for arrays only, but if you make a check of the objecttype you can consolidate the support of queryResults (current) and arrays (this code example).

And it is relatively less work."
11969,TYPO3.Fluid,Task,"",Closed,Must have,Make widgets' template configurable,Sebastian Kurfuerst,Adrian Föder,2012-12-10 07:08,Widgets,2.0 beta 1,2011-04-01,"",0.00,100,2011-01-06 08:31,"","",71000,0.00,No,"",""
12210,TYPO3.Fluid,Bug,"",Closed,Must have,Widget Bootstrapper Call to undefined method Tx_Extbase_Object_Container_Container::getContainer(),Kevin Ulrich Moschallski,"",2011-01-21 08:34,Widgets,"",2011-01-14,"","",0,2011-01-14 06:10,"","",2593600,"","","","When calling a ajax widget i recieve this error:

Call to undefined method Tx_Extbase_Object_Container_Container::getContainer()

I looked into the class and couldn't find such a method.

I replaced it with this:

$objectContainer = t3lib_div::makeInstance('Tx_Extbase_Object_Container_Container');
$objectContainer->registerImplementation($originalClassName, $classConfiguration['className']);

and everything works fine.

Patch attached."
12442,TYPO3.Fluid,Feature,"",Resolved,Could have,Provide format.json ViewHelper,Kevin Ulrich Moschallski,"",2012-05-22 20:38,ViewHelpers,1.1,2011-01-21,"","",100,2011-01-21 09:48,"","",2593500,"",Yes,"","Hi,

i suggest to add type json to the escape viewhelper.

Sometime you want to render json output with fluid and not with an own json view. The problem is that fluid also uses json like syntax, so if you want to add an object to a json string you run into a problem.

Imagine adding a link with the link viewhelper. It returns a sting with double quotes which need to be escaped for json.

I simply added type json to the escape viewhelper which returns the $value json_encode()'ed.

Tell me what you think.

Regards,
Kevin"
12502,TYPO3.Fluid,Feature,"",Resolved,Should have,translate viewhelper should have optional parameter extensionName,Georg Ringer,"",2012-05-07 05:01,ViewHelpers,"",2011-01-24,"","",100,2011-01-24 09:18,"","",2593450,"",Yes,"","The translate view helper works great bug would be even better if it would be possible to add the extensionName as argument.

examples:
1) Using a standalone view with Tx_Fluid_View_StandaloneView makes it impossible to work with translationViewHelper without duplicating translations

2) using example #1 can sometimes lead to have no extensionName available, therefore no translation can ever happen

3) having many extension in one project but very often the same translations leads to the problem having duplicate keys.

[pending in v4mvc list]"
12777,TYPO3.Fluid,Bug,"",Resolved,Must have,Empty a tag ends with /> instead of </a>,Xavier Perseguers,Sebastian Kurfuerst,2011-05-06 09:35,ViewHelpers,1.0 beta 1,2011-02-04,"","",100,2011-02-04 08:50,"","",2593400,"",Yes,"","When creating a link with no content, the result tag is

<a href=""http:///""/>

instead of

<a href=""http:///""></a>

or even better (if no url is provided):

<a href=""""></a>"
12863,TYPO3.Fluid,Bug,"",New,Should have,Attributes of a viewhelper can't contain a '-',Georg Ringer,Sebastian Kurfuerst,2011-10-21 07:37,Core,"",2011-02-08,"","",0,2011-02-08 03:25,"","",2593350,"",No,FLOW3 1.0.0,"It seems that a '-' in the key of an attribute destroys everything

example of viewhelper
<pre>
<f:for each=""{wallpapers}"" as=""wallpaper"">
<w:download allow-Upscaling=""1"" src=""uploads/tx_wallpaper/{wallpaper.image}"">1920 x 1200</w:download><br />
</f:for>
</pre>

gives the error
<pre>
Templating tags not properly nested. Expected: Tx_Fluid_ViewHelpers_ForViewHelper; Actual: Tx_Wallpaper_ViewHelpers_DownloadViewHelper
</pre>

2 possible solutions (IMHO):
- Allow the '-'
- Define allowed chars (a-z,0-9) and throw a correct exception"
12991,TYPO3.Fluid,Task,Task #26658: Make Form ViewHelpers consistent,Resolved,Should have,form.errors ViewHelper should merge property errors,Alexander Stehlik,"",2012-03-12 13:52,ViewHelpers,"",2011-02-11,"","",0,2011-02-11 12:00,"","",78850,"",No,"","At the moment, the form.errors view helper returns, when the first PropertyError with the correct property name was found.

This is not sufficient because someone might add more errors to the errors array for the same property. So if I add a new property error in my validator, it won't get rendered, if the validators defined by @ annotations also added errors for the same property before.

This is what I do in the validator of my domain model:

<pre>
$error = t3lib_div::makeInstance('Tx_Extbase_Validation_PropertyError', 'mypropertyname');
$error->addErrors(array(new Tx_Extbase_Validation_Error('My error message.', 1233456789)));
$this->errors[] = $error;    
</pre>

At first, I reported this as an exbase bug (#9215) but I think this is more a issue of the form.errors view helper.

I'll attached a patch that should fix this issue.

"
13045,TYPO3.Fluid,Bug,"",New,Should have,Entity decode of strings are different between if-conditions and output of variable,Armin Ruediger Vieweg,"",2011-10-21 07:37,"","",2011-02-15,"","",0,2011-02-14 19:08,"","",2593300,"","",FLOW3 1.0.0,"If I assign the following to a variable:
<pre>&lt;ul class=&quot;csc-menu csc-menu-3&quot;&gt;&lt;li class=&quot;csc-section&quot;&gt
</pre>

And want to work with this string in an own viewhelper, I have to html_entity_decode it. If I not do this, the submitted string depends where I call the viewhelper.

-----

*Fluid-Template Example 1:*
<pre>
Cool String: {own:viewhelper subject='{variables}'}
</pre>
My viewhelper gets the subject:<pre>&lt;ul class=&quot; ...""</pre> as expected.

-----

*Fluid-Template Example 2:*
<pre>
<f:if condition=""{own:viewhelper subject='{variables}'}"">
<f:then>
...
</pre>^_Note: My viewhelper counts some html tags in the string and returns an integer._^

The given subject is now: <pre><ul class="" ...</pre>

-----

This is generally no big problem, but it is a little bit inconsistent and not documented.

Kind Regards"
